single_qubit_gate_depolar_prob,two_qubit_gate_depolar_prob,Average Fidelity (%),Average Simulation Time (ms)
0.0,0.0,100.0,122.124353
0.0,0.08888888888888889,91.9,122.123513
0.0,0.17777777777777778,81.6,122.143668
0.0,0.26666666666666666,74.1,122.11799
0.0,0.35555555555555557,68.30000000000001,122.13523300000001
0.0,0.4444444444444445,63.1,122.13998299999999
0.0,0.5333333333333333,54.7,122.12037100000002
0.0,0.6222222222222222,45.9,122.106628
0.0,0.7111111111111111,38.2,122.12021700000001
0.0,0.8,37.1,122.13297100000001
0.08888888888888889,0.0,95.7,122.129039
0.08888888888888889,0.08888888888888889,88.0,122.128454
0.08888888888888889,0.17777777777777778,78.9,122.159092
0.08888888888888889,0.26666666666666666,70.3,122.121081
0.08888888888888889,0.35555555555555557,65.5,122.11943799999999
0.08888888888888889,0.4444444444444445,58.599999999999994,122.12777200000001
0.08888888888888889,0.5333333333333333,53.300000000000004,122.13297199999998
0.08888888888888889,0.6222222222222222,45.5,122.115139
0.08888888888888889,0.7111111111111111,41.8,122.106804
0.08888888888888889,0.8,37.2,122.11157
0.17777777777777778,0.0,91.3,122.11284099999999
0.17777777777777778,0.08888888888888889,82.8,122.117026
0.17777777777777778,0.17777777777777778,74.1,122.141928
0.17777777777777778,0.26666666666666666,66.60000000000001,122.112736
0.17777777777777778,0.35555555555555557,59.3,122.13264000000001
0.17777777777777778,0.4444444444444445,53.1,122.124266
0.17777777777777778,0.5333333333333333,50.1,122.12881099999998
0.17777777777777778,0.6222222222222222,45.4,122.11389
0.17777777777777778,0.7111111111111111,37.1,122.13038399999999
0.17777777777777778,0.8,33.6,122.119946
0.26666666666666666,0.0,87.6,122.118187
0.26666666666666666,0.08888888888888889,78.2,122.11932999999999
0.26666666666666666,0.17777777777777778,72.1,122.103691
0.26666666666666666,0.26666666666666666,62.3,122.14100999999998
0.26666666666666666,0.35555555555555557,61.1,122.13745300000001
0.26666666666666666,0.4444444444444445,54.900000000000006,122.13025
0.26666666666666666,0.5333333333333333,49.3,122.103301
0.26666666666666666,0.6222222222222222,44.7,122.13571499999999
0.26666666666666666,0.7111111111111111,39.6,122.131711
0.26666666666666666,0.8,32.9,122.11020300000001
0.35555555555555557,0.0,82.0,122.126742
0.35555555555555557,0.08888888888888889,77.0,122.12191699999998
0.35555555555555557,0.17777777777777778,68.2,122.13282900000002
0.35555555555555557,0.26666666666666666,61.3,122.11420600000001
0.35555555555555557,0.35555555555555557,55.900000000000006,122.138972
0.35555555555555557,0.4444444444444445,52.0,122.154149
0.35555555555555557,0.5333333333333333,46.7,122.122233
0.35555555555555557,0.6222222222222222,40.2,122.123897
0.35555555555555557,0.7111111111111111,35.199999999999996,122.097513
0.35555555555555557,0.8,32.2,122.12849600000001
0.4444444444444445,0.0,78.60000000000001,122.13572999999998
0.4444444444444445,0.08888888888888889,69.89999999999999,122.114236
0.4444444444444445,0.17777777777777778,66.10000000000001,122.109199
0.4444444444444445,0.26666666666666666,60.0,122.10959299999999
0.4444444444444445,0.35555555555555557,52.900000000000006,122.13134600000001
0.4444444444444445,0.4444444444444445,46.6,122.13639599999999
0.4444444444444445,0.5333333333333333,45.7,122.096372
0.4444444444444445,0.6222222222222222,35.6,122.120805
0.4444444444444445,0.7111111111111111,37.1,122.114462
0.4444444444444445,0.8,30.3,122.113041
0.5333333333333333,0.0,73.0,122.118011
0.5333333333333333,0.08888888888888889,64.9,122.11800600000001
0.5333333333333333,0.17777777777777778,59.8,122.12870299999999
0.5333333333333333,0.26666666666666666,53.5,122.114622
0.5333333333333333,0.35555555555555557,49.1,122.110111
0.5333333333333333,0.4444444444444445,44.800000000000004,122.133387
0.5333333333333333,0.5333333333333333,42.0,122.11957700000002
0.5333333333333333,0.6222222222222222,35.9,122.124353
0.5333333333333333,0.7111111111111111,32.300000000000004,122.116659
0.5333333333333333,0.8,29.299999999999997,122.12917999999999
0.6222222222222222,0.0,67.30000000000001,122.10644599999999
0.6222222222222222,0.08888888888888889,63.1,122.123075
0.6222222222222222,0.17777777777777778,56.8,122.119204
0.6222222222222222,0.26666666666666666,54.0,122.11218500000001
0.6222222222222222,0.35555555555555557,45.800000000000004,122.13952599999999
0.6222222222222222,0.4444444444444445,42.5,122.11496500000001
0.6222222222222222,0.5333333333333333,39.2,122.12265299999999
0.6222222222222222,0.6222222222222222,33.4,122.121709
0.6222222222222222,0.7111111111111111,32.300000000000004,122.130106
0.6222222222222222,0.8,30.0,122.11137
0.7111111111111111,0.0,63.9,122.110678
0.7111111111111111,0.08888888888888889,58.699999999999996,122.13869700000001
0.7111111111111111,0.17777777777777778,52.800000000000004,122.11713499999999
0.7111111111111111,0.26666666666666666,50.0,122.11984000000001
0.7111111111111111,0.35555555555555557,43.4,122.14474899999998
0.7111111111111111,0.4444444444444445,44.0,122.131331
0.7111111111111111,0.5333333333333333,38.6,122.13662299999999
0.7111111111111111,0.6222222222222222,33.2,122.107624
0.7111111111111111,0.7111111111111111,33.0,122.12520300000001
0.7111111111111111,0.8,28.9,122.10786900000001
0.8,0.0,58.9,122.131005
0.8,0.08888888888888889,52.900000000000006,122.13171000000001
0.8,0.17777777777777778,49.8,122.10896500000001
0.8,0.26666666666666666,45.7,122.12102200000001
0.8,0.35555555555555557,42.0,122.117935
0.8,0.4444444444444445,37.8,122.122714
0.8,0.5333333333333333,37.5,122.13412400000001
0.8,0.6222222222222222,30.7,122.11990000000002
0.8,0.7111111111111111,27.700000000000003,122.120445
0.8,0.8,29.799999999999997,122.110412
