single_qubit_gate_depolar_prob,two_qubit_gate_depolar_prob,Average Fidelity (%),Average Simulation Time (ms)
0.0,0.0,100.0,127.139199
0.0,0.08888888888888889,95.3,127.120005
0.0,0.17777777777777778,91.7,127.1398
0.0,0.26666666666666666,87.1,127.12242899999998
0.0,0.35555555555555557,81.6,127.12093
0.0,0.4444444444444445,76.7,127.12126700000002
0.0,0.5333333333333333,75.1,127.120218
0.0,0.6222222222222222,68.89999999999999,127.12824299999998
0.0,0.7111111111111111,63.6,127.11100299999998
0.0,0.8,59.199999999999996,127.14156499999999
0.08888888888888889,0.0,95.89999999999999,127.13787100000002
0.08888888888888889,0.08888888888888889,93.30000000000001,127.151832
0.08888888888888889,0.17777777777777778,85.1,127.14966700000001
0.08888888888888889,0.26666666666666666,82.5,127.11908
0.08888888888888889,0.35555555555555557,78.9,127.13783099999999
0.08888888888888889,0.4444444444444445,73.7,127.121988
0.08888888888888889,0.5333333333333333,71.2,127.10868199999999
0.08888888888888889,0.6222222222222222,64.7,127.129844
0.08888888888888889,0.7111111111111111,64.1,127.10761299999999
0.08888888888888889,0.8,62.6,127.14061199999999
0.17777777777777778,0.0,90.5,127.115179
0.17777777777777778,0.08888888888888889,85.8,127.108341
0.17777777777777778,0.17777777777777778,82.19999999999999,127.11476600000002
0.17777777777777778,0.26666666666666666,80.60000000000001,127.147949
0.17777777777777778,0.35555555555555557,75.6,127.13580700000001
0.17777777777777778,0.4444444444444445,71.3,127.09235899999999
0.17777777777777778,0.5333333333333333,70.39999999999999,127.14377200000003
0.17777777777777778,0.6222222222222222,63.4,127.13022300000003
0.17777777777777778,0.7111111111111111,61.4,127.109504
0.17777777777777778,0.8,58.5,127.148354
0.26666666666666666,0.0,87.2,127.145227
0.26666666666666666,0.08888888888888889,84.5,127.13286100000002
0.26666666666666666,0.17777777777777778,79.4,127.130637
0.26666666666666666,0.26666666666666666,75.6,127.11179100000001
0.26666666666666666,0.35555555555555557,75.2,127.12979300000002
0.26666666666666666,0.4444444444444445,72.2,127.08826299999998
0.26666666666666666,0.5333333333333333,68.30000000000001,127.15273199999999
0.26666666666666666,0.6222222222222222,66.4,127.12405399999999
0.26666666666666666,0.7111111111111111,60.699999999999996,127.12901
0.26666666666666666,0.8,58.099999999999994,127.108067
0.35555555555555557,0.0,83.3,127.12764900000002
0.35555555555555557,0.08888888888888889,78.4,127.13221399999999
0.35555555555555557,0.17777777777777778,76.1,127.13840699999999
0.35555555555555557,0.26666666666666666,75.2,127.12866799999999
0.35555555555555557,0.35555555555555557,72.1,127.104909
0.35555555555555557,0.4444444444444445,65.0,127.11679599999998
0.35555555555555557,0.5333333333333333,65.5,127.122938
0.35555555555555557,0.6222222222222222,61.8,127.15092099999998
0.35555555555555557,0.7111111111111111,58.699999999999996,127.13467199999998
0.35555555555555557,0.8,57.099999999999994,127.13644399999998
0.4444444444444445,0.0,78.10000000000001,127.13925900000002
0.4444444444444445,0.08888888888888889,75.0,127.144835
0.4444444444444445,0.17777777777777778,71.89999999999999,127.13161499999998
0.4444444444444445,0.26666666666666666,69.5,127.10038600000001
0.4444444444444445,0.35555555555555557,68.2,127.12718500000003
0.4444444444444445,0.4444444444444445,65.7,127.13474999999998
0.4444444444444445,0.5333333333333333,63.7,127.12725100000002
0.4444444444444445,0.6222222222222222,60.9,127.12851699999999
0.4444444444444445,0.7111111111111111,61.0,127.11938599999999
0.4444444444444445,0.8,56.699999999999996,127.13437299999998
0.5333333333333333,0.0,73.6,127.13829499999999
0.5333333333333333,0.08888888888888889,70.5,127.145061
0.5333333333333333,0.17777777777777778,67.9,127.121898
0.5333333333333333,0.26666666666666666,67.7,127.12018999999998
0.5333333333333333,0.35555555555555557,64.1,127.111646
0.5333333333333333,0.4444444444444445,61.0,127.134009
0.5333333333333333,0.5333333333333333,60.6,127.10467899999999
0.5333333333333333,0.6222222222222222,62.3,127.122584
0.5333333333333333,0.7111111111111111,55.800000000000004,127.14266100000002
0.5333333333333333,0.8,54.7,127.114884
0.6222222222222222,0.0,69.8,127.113402
0.6222222222222222,0.08888888888888889,67.2,127.113444
0.6222222222222222,0.17777777777777778,68.0,127.128101
0.6222222222222222,0.26666666666666666,62.1,127.14431200000003
0.6222222222222222,0.35555555555555557,63.800000000000004,127.14018700000001
0.6222222222222222,0.4444444444444445,59.699999999999996,127.120666
0.6222222222222222,0.5333333333333333,61.6,127.13022599999998
0.6222222222222222,0.6222222222222222,57.4,127.13016899999997
0.6222222222222222,0.7111111111111111,56.10000000000001,127.11593599999999
0.6222222222222222,0.8,53.900000000000006,127.11748899999999
0.7111111111111111,0.0,65.8,127.12166199999999
0.7111111111111111,0.08888888888888889,62.0,127.13186600000002
0.7111111111111111,0.17777777777777778,60.4,127.12560699999997
0.7111111111111111,0.26666666666666666,60.199999999999996,127.12396799999999
0.7111111111111111,0.35555555555555557,58.599999999999994,127.12007499999999
0.7111111111111111,0.4444444444444445,59.099999999999994,127.124415
0.7111111111111111,0.5333333333333333,58.099999999999994,127.11333200000001
0.7111111111111111,0.6222222222222222,56.00000000000001,127.11400500000002
0.7111111111111111,0.7111111111111111,55.800000000000004,127.13028
0.7111111111111111,0.8,49.7,127.133268
0.8,0.0,58.8,127.125675
0.8,0.08888888888888889,60.099999999999994,127.12152000000002
0.8,0.17777777777777778,60.6,127.14485199999999
0.8,0.26666666666666666,59.3,127.15522800000005
0.8,0.35555555555555557,57.099999999999994,127.122533
0.8,0.4444444444444445,53.300000000000004,127.12991299999999
0.8,0.5333333333333333,57.49999999999999,127.11066499999998
